Partner name,Offer Reference,Country,*Currency,Status,*For LPM,*Payment fee %,*Type of Risk,*Type of traffic,*FIAT Settlement currency,*FIAT Settlement Cost,FX Source,FX - Settlement,*Settlement Delays (per currency),*Refund,Payments limit,Disbursement limit,Closed GEO,8B Lead,Minimum monthly fee,*Pay in / out,Setup fee,Taxation,Netting fee/topup fee,"Netting latency ",8B legal entity,*Fix transaction fee,*Min transaction fee,"CRYPTO Settlement currency ","CRYPTO Settlement Cost ",Special payment terms,"Disbursement fix fee ",Min disbursement fee,"Limit per settlement request ",Disbursement fee%,*Dispute / Ch'back,Rolling Reserve/Deposit,*Recurrent LPM?,FX - Disbursement,FX - Payment,User verification,Effort,Confidence,USD Turnover,Reach,RICE Score,Fraud Screening,Important,Minimum monthly commitment,Partial Refund,Gateway fee,Files & media,Auth type (cards only),Revenue share,Competitor Price/Market Rate,Settlement time
Binance  (https://www.notion.so/Binance-1ad0f236396480188895ebfbe03b05f3?pvs=21),"Binance - March2025-BinancePay ",Worldwide (https://www.notion.so/Worldwide-1520f23639648020a5e3d09f3eb6325a?pvs=21),Crypto,Negotiating offer,BinancePay (https://www.notion.so/BinancePay-1c20f23639648019bb0ad1a614652805?pvs=21),0.3%,"Crypto, Forex, High risk, Low risk, iGaming",Both,Crypto (?) - we need to choose,0,Binance,depends on the crypto we choose,T+1 (T+7 to pay the Merchants),no fee,"its 8M but to caveat
if the Amount >20k would need to be paid in the same cryptocurrency as the order currency.
https://www.binance.com/en/support/faq/detail/506df8c3e96a46d199897bdc2b3fdfbb?hl=en",Unlimited,"American Samoa, Australia, Bahrain, Canada, Cuba, Cyprus, Guam, Indonesia, Iran, Japan,
Kazakhstan, North Korea, New Zealand, Northern Mariana Islands, Philippines, Puerto Rico,
Russia, Singapore, Syria, Thailand, Ukraine(Crimea Region incl. Donetsk, Luhansk,
Zaporizhzhia and Kherson as well as the Crimea Peninsula), United States Minor Outlying
Islands, USA, Vietnam, Virgin Islands (U.S.), Malaysia, Netherlands, United Arab Emirates,
United Kingdom",Heewon Jang,,Both,0,,,depends on the crypto we choose,SredaPay,,,,,,,,,0.8% (the max fee is 5usd per txn),no fee,X,Yes,depends on the crypto we choose,depends on the crypto we choose,Verified Binance users,,,,,,,,,"no fee, support refund of a single order up to 10 times, refund must be made within 90 days of order paid ",,,,,,
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Cameroon-MTN,🇨🇲 Cameroon (https://www.notion.so/Cameroon-2cb9b5e7e63b411c8352d7861eeeba8c?pvs=21),XAF,Negotiating offer,MTN (https://www.notion.so/MTN-c7871bdf09c343389cfb7c9cb858c97a?pvs=21),2.55%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 2.55%
>2M EUR: 2.40%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Congo-Brazzaville-MTN,Congo-Brazzaville (https://www.notion.so/Congo-Brazzaville-18f0f236396480aebba9d7b5104fb9fa?pvs=21),XAF,Negotiating offer,MTN (https://www.notion.so/MTN-c7871bdf09c343389cfb7c9cb858c97a?pvs=21),3.45%,High risk,Both,EUR,0,,,T+10,no,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.45%
>2M EUR: 3.25%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Zambia-MTN,🇿🇲 Zambia (https://www.notion.so/Zambia-541790e79bdf457e9d1beb4f6a9b918a?pvs=21),ZMW,Negotiating offer,MTN (https://www.notion.so/MTN-c7871bdf09c343389cfb7c9cb858c97a?pvs=21),3.45%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.45%
>2M EUR: 3.25%",,,,,,no,No,,,,4,85%,"$200,000.00",2,8.5,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Zambia-Spenn,🇿🇲 Zambia (https://www.notion.so/Zambia-541790e79bdf457e9d1beb4f6a9b918a?pvs=21),ZMW,Negotiating offer,Spenn (https://www.notion.so/Spenn-18f0f236396480ee80deff44e504ca00?pvs=21),3.45%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.45%
>2M EUR: 3.25%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Zambia-Zamtel,🇿🇲 Zambia (https://www.notion.so/Zambia-541790e79bdf457e9d1beb4f6a9b918a?pvs=21),ZMW,Negotiating offer,Zamtel (https://www.notion.so/Zamtel-d0deaa3b930746aaa0cdf5b1451c9692?pvs=21),3.45%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.45%
>2M EUR: 3.25%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Tanzania-Airtel,🇹🇿 Tanzania (https://www.notion.so/Tanzania-a8f9676020cf44d2b2f1a6b266a73c02?pvs=21),TZS,Negotiating offer,Airtel (https://www.notion.so/Airtel-1351e9be85e447dd979a1d99c40b88a9?pvs=21),3.30%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.30%
>2M EUR: 3.10%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Tanzania-MPesa,🇹🇿 Tanzania (https://www.notion.so/Tanzania-a8f9676020cf44d2b2f1a6b266a73c02?pvs=21),TZS,Negotiating offer,MPesa (https://www.notion.so/MPesa-d5ab14a68116422a82a9d80fe0aeca8d?pvs=21),3.45%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.45%
>2M EUR: 3.25%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Uganda-Airtel,🇺🇬 Uganda (https://www.notion.so/Uganda-5e26980ccd5a4fcd9a4fcc1a9d8c9773?pvs=21),UGX,Negotiating offer,Airtel (https://www.notion.so/Airtel-1351e9be85e447dd979a1d99c40b88a9?pvs=21),3.30%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.30%
>2M EUR: 3.10%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Madagascar-Airtel,🇲🇬 Madagascar (https://www.notion.so/Madagascar-13a19b59161a4307bcea4f7fe53167cb?pvs=21),MGA,Negotiating offer,Airtel (https://www.notion.so/Airtel-1351e9be85e447dd979a1d99c40b88a9?pvs=21),4.45%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 4.45%
>2M EUR: 4.25%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Madagascar-mVola,🇲🇬 Madagascar (https://www.notion.so/Madagascar-13a19b59161a4307bcea4f7fe53167cb?pvs=21),MGA,Negotiating offer,mVola (https://www.notion.so/mVola-18f0f236396480cdb970e4c0736966ba?pvs=21),5.45%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 5.45%
>2M EUR: 5.25%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Nigeria-Paga,🇳🇬 Nigeria (https://www.notion.so/Nigeria-b6ba46d66c6e4130bc722e046fc56f14?pvs=21),NGN,Negotiating offer,Paga (https://www.notion.so/Paga-95cf67dd84bc414ea9d0bb5d5bdf21c6?pvs=21),3.30%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.30%
>2M EUR: 3.10%",,,,,,no,No,,,,4,85%,"$500,000.00",2,21.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Rwanda-Spenn,🇷🇼 Rwanda (https://www.notion.so/Rwanda-22ffaf8b27ca4a8eab62894e53ef7d6a?pvs=21),RWF,Negotiating offer,Spenn (https://www.notion.so/Spenn-18f0f236396480ee80deff44e504ca00?pvs=21),3.45%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.45%
>2M EUR: 3.25%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Botswana-Orange Money,🇧🇼 Botswana (https://www.notion.so/Botswana-6dfe75cc52d9477c888221e629172dad?pvs=21),BWP,Negotiating offer,Orange Money (https://www.notion.so/Orange-Money-18f0f236396480658451df085c82cad4?pvs=21),3.85%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 3.85%
>2M EUR: 3.65%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+10
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Europe-PayBybank,"Europe (https://www.notion.so/Europe-1580f23639648077ba18f728f43741fd?pvs=21), 🇩🇪 Germany (https://www.notion.so/Germany-29965a86b55145689c424681a33407e9?pvs=21), 🇮🇹 Italy (https://www.notion.so/Italy-400be0c5b3e342c18811bc9bb01583c0?pvs=21), 🇫🇷 France (https://www.notion.so/France-46e46fcf7d364b44a472241a11339793?pvs=21), 🇪🇸 Spain (https://www.notion.so/Spain-2c4ab53e04f8448685aff88b06a4717d?pvs=21)",EUR,Negotiating offer,"Pay by Bank - ES (https://www.notion.so/Pay-by-Bank-ES-2d41e98dedff4f0fbd3b2d0980e12810?pvs=21), Pay by Bank - DE (https://www.notion.so/Pay-by-Bank-DE-7746804f6dd844ffad6ba982ed85bf7d?pvs=21), Pay by Bank - NL (https://www.notion.so/Pay-by-Bank-NL-961a1055dca646a2a24e1e736eafa89e?pvs=21), Pay by Bank - UK (https://www.notion.so/Pay-by-Bank-UK-203a331adeca4bf9b9175563fff8ee7d?pvs=21), Pay by Bank - AT (https://www.notion.so/Pay-by-Bank-AT-fa7ecbcee4f64f6591eff8f3b40df329?pvs=21), Pay by Bank - FR (https://www.notion.so/Pay-by-Bank-FR-5f5e4ec5b6c24cf8b092d5ac7d8762a7?pvs=21), Pay by Bank - BE (https://www.notion.so/Pay-by-Bank-BE-5b162bb2988948ebb10c9a8d76ae0a6a?pvs=21), Pay by Bank - LU (https://www.notion.so/Pay-by-Bank-LU-45a429f10183408d96eab4761fbd612c?pvs=21), Pay by Bank - IT (https://www.notion.so/Pay-by-Bank-IT-f037627543904cf8a7b07d7630220234?pvs=21), Pay by Bank - PT (https://www.notion.so/Pay-by-Bank-PT-fff0f23639648057b4aee35eb37d3a48?pvs=21), Pay by Bank - IE (https://www.notion.so/Pay-by-Bank-IE-1ec21cc1f9004bcdb9d09da833fee151?pvs=21), Pay by Bank - EE (https://www.notion.so/Pay-by-Bank-EE-7cb99078a4464de68cdaad66eb8a6c33?pvs=21), Pay by Bank - NO (https://www.notion.so/Pay-by-Bank-NO-76fdaf5a58764740820fb3d9e741be31?pvs=21)",0.70%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,0.10 EUR,,n/a,n/a,"0-2M EUR: 0.70%+0.10 EUR
>2M EUR: 0.55%+0.10 EUR",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+2
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-SE Europe-Aircash,"🇭🇷 Croatia (https://www.notion.so/Croatia-f96e308efae04be7af7d8a1b3c39fe3a?pvs=21), 🇷🇴 Romania (https://www.notion.so/Romania-3e13efe4055b40ffb0b0a7ae69af9cc2?pvs=21), 🇧🇬 Bulgaria (https://www.notion.so/Bulgaria-da89bb5f0afd44709f799b8334f0f408?pvs=21)",EUR,Negotiating offer,Aircash (https://www.notion.so/Aircash-18f0f23639648089a4b3ce15ab6f36d8?pvs=21),6.55%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,,,n/a,n/a,"0-2M EUR: 6.55%
>2M EUR: 6.35%",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+7
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Poland-BLIK,🇵🇱 Poland (https://www.notion.so/Poland-74cb72e2a9554b7fa38c04b53ed745c5?pvs=21),EUR,Negotiating offer,BLIK (https://www.notion.so/BLIK-e52a4cfd41504398b57508e672afb7bc?pvs=21),0.9%,Low risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,0.20 PLN,,n/a,n/a,"0-2M EUR: 0.9% + 0.20PLN
>2M EUR: 0.75% + 0.20PLN",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+2
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Slovakia-BLIK,🇸🇰 Slovakia (https://www.notion.so/Slovakia-6adfe9172343452f9a39618e09b36688?pvs=21),EUR,Negotiating offer,BLIK (https://www.notion.so/BLIK-e52a4cfd41504398b57508e672afb7bc?pvs=21),0.9%,Low risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,0.05 EUR,,n/a,n/a,"0-2M EUR: 0.9% + 0.05 EUR
>2M EUR: 0.75% + 0.05 EUR",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+2
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Austria-eps,🇦🇹 Austria (https://www.notion.so/Austria-8a8c4621fbf54875acaeb810b1e05d21?pvs=21),EUR,Negotiating offer,eps (https://www.notion.so/eps-9019015eb4574ab794983c80879ec3ee?pvs=21),0.9%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,0.15 EUR,,n/a,n/a,"0-2M EUR: 0.9% + 0.15 EUR
>2M EUR: 0.75% + 0.15 EUR",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+2
Nikulipe (https://www.notion.so/Nikulipe-12f0f236396480ee9624e63fcdd1c356?pvs=21),Nikulipe-January25-Belgium/Lux-Payconiq,"🇧🇪 Belgium (https://www.notion.so/Belgium-1e223c10015447c8abbcb99a5a4fb432?pvs=21), 🇱🇺 Luxembourg (https://www.notion.so/Luxembourg-442a457113fb4c9a8fc89ce881cb975c?pvs=21)",EUR,Negotiating offer,Payconiq (https://www.notion.so/Payconiq-1c405fdd46de42b99a6929c8c8788d3f?pvs=21),0.9%,High risk,Both,EUR,0,,,T+10,,,,,Anna Ivanova,,Payments,,,,,GFI,0.10 EUR,,n/a,n/a,"0-2M EUR: 0.9% + 0.10 EUR
>2M EUR: 0.75% + 0.10 EUR",,,,,,no,No,,,,4,85%,"$100,000.00",2,4.25,,,,,,,,,,T+2
Sense BANK (https://www.notion.so/Sense-BANK-18b0f2363964805294d6f87063ba416c?pvs=21),Sense Bank_jan25_ecom,WorldWide except of sanctioned countries + USA+CHIN (https://www.notion.so/WorldWide-except-of-sanctioned-countries-USA-CHIN-18b0f236396480398f26ff4c6c5cb591?pvs=21),,no offer yet,,"1.4 bank fee + 2,9 agent=4.3",High risk,Both,,,,,,,,,,Oksana Terpilo-Kunitskaya,,Payments,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
HZ (https://www.notion.so/HZ-13e0f236396480628808e4ccb0623f7a?pvs=21),HZ-January-2025-LinkAja (T+1),🇮🇩 Indonesia (https://www.notion.so/Indonesia-82f5326738e24e4fbb8b42f471f34bb5?pvs=21),,Negotiating offer,LinkAja (https://www.notion.so/LinkAja-f36d1d14d6044c039f0247c8d991cc30?pvs=21),3.4%,High risk,,USDT,,"internal fx rate, comparing to http://xe.com ≈ 0.56%",,T+0,,,,,Yana Kuprina,,Both,,,,,,,,,,,,,,"IDR 4,500 + 0.3%  ",,n/a,,,,,,,,,,,,,,,,,,,
HZ (https://www.notion.so/HZ-13e0f236396480628808e4ccb0623f7a?pvs=21),HZ-January-2025-OVO (T+1),🇮🇩 Indonesia (https://www.notion.so/Indonesia-82f5326738e24e4fbb8b42f471f34bb5?pvs=21),IDR,Negotiating offer,OVO (https://www.notion.so/OVO-24c88ad0da7a49a29e6ee8054a225e0e?pvs=21),3.4%,High risk,,USDT,,"internal fx rate, comparing to http://xe.com ≈ 0.56%",,T+1,,,,,Yana Kuprina,,Both,,,,,,,,,,,,,,"IDR 4,500 + 0.3%  ",,,,,,,,,,,,,,,,,,,,,
HZ (https://www.notion.so/HZ-13e0f236396480628808e4ccb0623f7a?pvs=21),HZ-January-2025-ShopeePay (T+1),🇮🇩 Indonesia (https://www.notion.so/Indonesia-82f5326738e24e4fbb8b42f471f34bb5?pvs=21),IDR,no offer yet,ShopeePay - Indonesia (https://www.notion.so/ShopeePay-Indonesia-38d612ccab07421c914d6fb8e0af9146?pvs=21),3.4%,High risk,,USDT,,"internal fx rate, comparing to http://xe.com ≈ 0.56%",,T+1,,,,,Yana Kuprina,,Both,,,,,,,,,,,,,,"IDR 4,500 + 0.3% ",,,,,,,,,,,,,,,,,,,,,
KiwiPayment  (https://www.notion.so/KiwiPayment-18a0f23639648040af82da81ac689925?pvs=21),KiwiPayment-January2025-South Africa,🇿🇦 South Africa (https://www.notion.so/South-Africa-3d075926017a437097a1080166a2f958?pvs=21),EUR,Negotiating offer,Bank Transfer - South Africa (https://www.notion.so/Bank-Transfer-South-Africa-1580f2363964803182a5f1603dc34334?pvs=21),7.0%,High risk,Both,,,,,2 weeks connection time,,,,,"Anna Ivanova, Heewon Jang",,Payments,,,,,,,,,,,,,,,,tbc,No,,,,,,,,,,,,,,,,,,
KiwiPayment  (https://www.notion.so/KiwiPayment-18a0f23639648040af82da81ac689925?pvs=21),KiwiPayment-January2025-Brazil(PIX),🇧🇷 Brazil (https://www.notion.so/Brazil-fe60a68478f749fcacf9a9d1d87a8ab7?pvs=21),EUR,Negotiating offer,PIX (https://www.notion.so/PIX-1e399abafc874140b30c6c8e13750b09?pvs=21),6.0%,High risk,Both,,,,,,,,,,"Anna Ivanova, Heewon Jang",,Payments,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,
KiwiPayment  (https://www.notion.so/KiwiPayment-18a0f23639648040af82da81ac689925?pvs=21),KiwiPayment-January2025-India(UPI),🇮🇳 India (https://www.notion.so/India-506e71755d364655868088737e78b6a0?pvs=21),EUR,Negotiating offer,Unified Payments Interface (UPI) (https://www.notion.so/Unified-Payments-Interface-UPI-06abebb6cd3d47a1b44a86d130bdf09a?pvs=21),6.0%,High risk,Both,,,,,,,,,,"Anna Ivanova, Heewon Jang",,Payments,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,
KiwiPayment  (https://www.notion.so/KiwiPayment-18a0f23639648040af82da81ac689925?pvs=21),KiwiPayment-January2025-Australia (PayID),🇦🇺 Australia (https://www.notion.so/Australia-be513ea2bc4f4a3ab7b3c9f44e551521?pvs=21),EUR,Negotiating offer,PayID (https://www.notion.so/PayID-1fb2b582a6234e4984bcf80ac87d2f25?pvs=21),6.0%,"High risk, Low risk",Both,"USD, USDT",,,,,,,,,"Anna Ivanova, Heewon Jang",,Payments,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,
