Partner name,Offer Reference,Country,*Currency,Status,*For LPM,*Payment fee %,*Type of Risk,*Type of traffic,*FIAT Settlement currency,*FIAT Settlement Cost,FX Source,FX - Settlement,*Settlement Delays (per currency),*Refund,Payments limit,Disbursement limit,Closed GEO,8B Lead,Minimum monthly fee,*Pay in / out,Setup fee,Taxation,Netting fee/topup fee,"Netting latency ",8B legal entity,*Fix transaction fee,*Min transaction fee,"CRYPTO Settlement currency ","CRYPTO Settlement Cost ",Special payment terms,"Disbursement fix fee ",Min disbursement fee,"Limit per settlement request ",Disbursement fee%
"ZipZopay (https://www.notion.so/ZipZopay-c7c0e08249f444d3ae79a75016785e0d?pvs=21), Oy! (https://www.notion.so/Oy-0ab1ab2934124192abedf79eef88509a?pvs=21)",ZipZopay- September 2024 - UPI Intent MSC,🇮🇳 India (https://www.notion.so/India-506e71755d364655868088737e78b6a0?pvs=21),INR,Live,UPI Intent (mscd) (https://www.notion.so/UPI-Intent-mscd-07ff113f889643eaad241aed5ae5c73a?pvs=21),Trusted 5%,High risk,Trusted,USDt,,Binance P2P,1%,T+0,2.25%,500.00 INR - 20 000.00 INR,10.00 INR - 50 000.00 INR,,,,Both,,,,,,,,,,,,,,Trusted 2.25%
Klyme (ex Boodil) (https://www.notion.so/Klyme-ex-Boodil-13c0f23639648073a4bde5d0191d43a6?pvs=21),Klyme - November 2024 - PayByBank EU,Europe (https://www.notion.so/Europe-1580f23639648077ba18f728f43741fd?pvs=21),EUR,Upcoming (ready to sell),Pay by Bank (https://www.notion.so/Pay-by-Bank-6fb1e17470a54d05a3cfc04bbd3dbec5?pvs=21),"1% + 0.20 EUR (0,03 EUR per declined transaction)",High risk,"FTD, Trusted",EUR,,,,Instant,,"min EUR 10.00, max EUR 15,000.00",,,Anna Ivanova,EUR 50.00 as a Monthly minimum fee which is only charged if transaction fees do not meet EUR 50.00,Payments,,Taxes are not included,,,GFI,,,,,,,,no,
Atompay (https://www.notion.so/Atompay-1850f236396480c285cfd577ec47560b?pvs=21),Atompay- January 2025 - UPI Intent,🇮🇳 India (https://www.notion.so/India-506e71755d364655868088737e78b6a0?pvs=21),INR,Upcoming (ready to sell),UPI Intent (mscd) (https://www.notion.so/UPI-Intent-mscd-07ff113f889643eaad241aed5ae5c73a?pvs=21),5.5%,High risk,Trusted,USDT,,Binance,0,T+1,500 INR,,,,,,Both,,,,,,,,,,,,,,Trusted 3%
Halyk (https://www.notion.so/Halyk-14b0f2363964801a958fe90d5446c7f2?pvs=21),Halyk_jan 2025_Ecom_KZ,🇰🇿 Kazakhstan (https://www.notion.so/Kazakhstan-a729cd06e99a4cd9af1f68eb294c768c?pvs=21),KZT,Upcoming (ready to sell),"Visa/MC - Kazakhstan (https://www.notion.so/Visa-MC-Kazakhstan-1120f236396480ccb13cea03975d824d?pvs=21), DinersClub (https://www.notion.so/DinersClub-1850f23639648071ac84c8eaec80afad?pvs=21), AMEX (https://www.notion.so/AMEX-1850f23639648026b32ec9b9fc6f2821?pvs=21), CUP (https://www.notion.so/CUP-1850f236396480c3ba2ad50e15c75cff?pvs=21)","General MCC
карты Виза/МС, CUP выпущенные в банком Халык - 2,5%
карты Виза/МС, CUP других банков 3%
AMEX, DC, Discover, JCB - 4%
МСС 7995 - 3,5%

",Low risk,,KZT,,,,,,,,,Oxana Ter,,Both,,,,,,,,,,,,,,0.8% min 120 kzt
Payzland (https://www.notion.so/Payzland-125eb0bd3104446182408b261305b8d8?pvs=21),Payzland- January 2025 - UPI Intent,🇮🇳 India (https://www.notion.so/India-506e71755d364655868088737e78b6a0?pvs=21),INR,Upcoming (ready to sell),UPI Intent (mscd) (https://www.notion.so/UPI-Intent-mscd-07ff113f889643eaad241aed5ae5c73a?pvs=21),5.80%,High risk,Trusted,USDT,,binance,1.00%,T+1,2.75%,Payin Min -100 INR; Payin max -10000 INR;,Payout min -500 INR; Payout max -50000 INR;,,Bogdan Zadorozhny,,Payments,,Included,,,,,,,,,,,,Trusted 2.30%
PagSmile (https://www.notion.so/PagSmile-222c7b6d15e44541a7920371d96e6357?pvs=21),PagSmile - May 2024 - Brazil - OpenFinance,🇧🇷 Brazil (https://www.notion.so/Brazil-fe60a68478f749fcacf9a9d1d87a8ab7?pvs=21),BRL,Live,OpenFinance (https://www.notion.so/OpenFinance-3ba5f62935fe4d588c53fadb7e2dbc0b?pvs=21),"0.68% ",High risk,Both,"USD, EUR",USD/EUR 50.00,xe.com,2.00%,"T+7 = EUR / USD
T+3 = USDT",USD 1.00,"0.1~20,000","0.1~20,000",,Anna Ivanova,,Both,,Included,1%,T+1,"DPS, GFI",no,BRL 0.20,USDT,1% + 50 USDT,,,,,0.68%
PagSmile (https://www.notion.so/PagSmile-222c7b6d15e44541a7920371d96e6357?pvs=21),PagSmile - May 2024 - Brazil - Lottery,🇧🇷 Brazil (https://www.notion.so/Brazil-fe60a68478f749fcacf9a9d1d87a8ab7?pvs=21),BRL,Live,Lottery (https://www.notion.so/Lottery-1830f2363964805cb39ad8e5fbad944a?pvs=21),1.50%,High risk,Both,"USD, EUR",USD/EUR 50.00,xe.com,2.00%,"T+7 = EUR / USD
T+3 = USDT",USD 1.00,"4~2,000",,,Anna Ivanova,,Payments,,Included,1%,T+1,"DPS, GFI",no," BRL 1.00",USDT,1% + 50 USDT,,,,,
PagSmile (https://www.notion.so/PagSmile-222c7b6d15e44541a7920371d96e6357?pvs=21),PagSmile - May 2024 - Brazil - MercadoPago,🇧🇷 Brazil (https://www.notion.so/Brazil-fe60a68478f749fcacf9a9d1d87a8ab7?pvs=21),BRL,Live,MercadoPago (https://www.notion.so/MercadoPago-1830f23639648075aa27fe8224c50482?pvs=21),3.88%,Low risk,Both,"USD, EUR",USD/EUR 50.00,xe.com,2.00%,"T+7 = EUR / USD
T+3 = USDT",USD 1.00,"0.01~10,000",,,Anna Ivanova,,Payments,,Included,1%,T+1,"DPS, GFI",no,,USDT,1% + 50 USDT,,,,,
PagSmile (https://www.notion.so/PagSmile-222c7b6d15e44541a7920371d96e6357?pvs=21),PagSmile - May 2024 - Brazil - PicPay,🇧🇷 Brazil (https://www.notion.so/Brazil-fe60a68478f749fcacf9a9d1d87a8ab7?pvs=21),BRL,Live,PicPay (https://www.notion.so/PicPay-1460f23639648043aff4f2744ef64ebb?pvs=21),3.88%,High risk,Both,"USD, EUR",USD/EUR 50.00,xe.com,2.00%,"T+7 = EUR / USD
T+3 = USDT",USD 1.00,"0.01~10,000",,,Anna Ivanova,,Payments,,Included,1%,T+1,"DPS, GFI",no,,USDT,1% + 50 USDT,,,,,
PagSmile (https://www.notion.so/PagSmile-222c7b6d15e44541a7920371d96e6357?pvs=21),PagSmile - May 2024 - Brazil - Boleto,🇧🇷 Brazil (https://www.notion.so/Brazil-fe60a68478f749fcacf9a9d1d87a8ab7?pvs=21),BRL,Live,Boleto Bancário (https://www.notion.so/Boleto-Banc-rio-ae8fb9cbbfd34f80b71d42e57e4db37e?pvs=21),"0.63% ",High risk,Both,"USD, EUR",USD/EUR 50.00,xe.com,2.00%,"T+7 = EUR / USD
T+3 = USDT",USD 1.00,"5~15,000",,,Anna Ivanova,,Payments,,Included,1%,T+1,"DPS, GFI",no,BRL 2.00,USDT,1% + 50 USDT,,,,,
